##################################################
Knowledge Graph : /home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-10-17/vertex_ai/gemini-2.5-flash/4_1_prompt_fully_created_by_AI_2025-10-17_17-28-38_Noria.ttl
Number of Nodes : 214
Number of edges : 494
cumulative number of nodes : 214
degree_histogram : [0, 44, 31, 25, 31, 26, 9, 12, 7, 7, 7, 1, 5, 0, 0, 4, 2, 1, 0, 0, 0, 0, 0, 2]
number of self loop : 0
####  KPIs ####
DiGraph density : 0.010837611337808785
cumulative density : 0.010837611337808785
Average degree connectivity : {2: 2.0, 10: 4.5, 9: 4.396825396825397, 3: 4.226666666666667, 11: 2.0, 6: 5.222222222222222, 4: 7.080645161290323, 12: 5.066666666666666, 7: 3.1785714285714284, 15: 2.5166666666666666, 16: 1.9375, 1: 0.8636363636363636, 5: 5.007692307692308, 23: 1.7173913043478262, 17: 2.5294117647058822, 8: 4.053571428571429}
#### Subject, Object, predicate ####
ProductModel1,organization,{'label': 'productManufacturedBy', 'color': 'white'}
TroubleTicket3,ApplicationModule2,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket3,Assistance,{'label': 'troubleTicketType', 'color': 'white'}
TroubleTicket3,Major,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket3,Service2,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket3,Enterprise Customers,{'label': 'troubleTicketCharacteristic', 'color': 'white'}
TroubleTicket3,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket3,The customer segment affected by the slow performance.,{'label': 'troubleTicketCharacteristic', 'color': 'white'}
TroubleTicket3,Resource3,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket3,EventRecord3,{'label': 'documentStatusHistory', 'color': 'white'}
TroubleTicket3,Impacted Customer Segment,{'label': 'troubleTicketCharacteristic', 'color': 'white'}
TroubleTicket3,Agent8,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket3,Customer,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket3,CorruptedService,{'label': 'troubleTicketCriticity', 'color': 'white'}
ApplicationModule5,Application5,{'label': 'applicationModuleOf', 'color': 'white'}
ApplicationModule5,Agent4,{'label': 'applicationModuleSupportTeam', 'color': 'white'}
ApplicationModule5,InProduction,{'label': 'applicationModuleStatus', 'color': 'white'}
Application5,high,{'label': 'applicationBusinessImportance', 'color': 'white'}
Application5,security,{'label': 'applicationType', 'color': 'white'}
Resource2,Agent2,{'label': 'resourceManagedBy', 'color': 'white'}
Resource2,ProductModel3,{'label': 'resourceProductModel', 'color': 'white'}
Resource2,Locus3,{'label': 'locatedAtLocus', 'color': 'white'}
Resource2,Router,{'label': 'resourceType', 'color': 'white'}
Resource2,Application1,{'label': 'resourceForApplication', 'color': 'white'}
Resource2,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
TroubleTicket1,Application9,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket1,Critical,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket1,EventRecord1,{'label': 'documentStatusHistory', 'color': 'white'}
TroubleTicket1,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket1,Resource1,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TroubleTicket1,InterruptedService,{'label': 'troubleTicketCriticity', 'color': 'white'}
TroubleTicket1,TroubleTicketNote1_TT1,{'label': 'troubleTicketPartyIntervention', 'color': 'white'}
TroubleTicket1,Agent1,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket1,P1,{'label': 'troubleTicketPriority', 'color': 'white'}
TroubleTicket1,tt1_freeze_end,{'label': 'troubleTicketFreezeItem', 'color': 'white'}
TroubleTicket1,TroubleTicketNote2_TT1,{'label': 'troubleTicketPartyIntervention', 'color': 'white'}
TroubleTicket1,ImmediateIntervention,{'label': 'troubleTicketUrgency', 'color': 'white'}
TroubleTicket1,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket1,EventRecord2_TT1_Resolved,{'label': 'documentStatusHistory', 'color': 'white'}
TroubleTicket1,tt1_freeze_start,{'label': 'troubleTicketFreezeItem', 'color': 'white'}
TroubleTicket1,InternalIT,{'label': 'problemResponsibility', 'color': 'white'}
TroubleTicket1,Failure,{'label': 'troubleTicketType', 'color': 'white'}
Application9,high,{'label': 'applicationBusinessImportance', 'color': 'white'}
Application9,network-service,{'label': 'applicationType', 'color': 'white'}
TroubleTicket6,Service5,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket6,ImmediateIntervention,{'label': 'troubleTicketUrgency', 'color': 'white'}
TroubleTicket6,Critical,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket6,Agent8,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket6,Resource12,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TroubleTicket6,EventRecord9,{'label': 'troubleTicketTrigger', 'color': 'white'}
TroubleTicket6,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket6,Customer,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket6,Failure,{'label': 'troubleTicketType', 'color': 'white'}
Service5,ApplicationModule7,{'label': 'subSystemOf', 'color': 'white'}
Service5,CustomerFacingService,{'label': 'serviceType', 'color': 'white'}
Service5,ApplicationModule5,{'label': 'subSystemOf', 'color': 'white'}
Agent4,Resource13,{'label': 'agentManagesResource', 'color': 'white'}
Agent4,Resource14,{'label': 'agentManagesResource', 'color': 'white'}
Agent4,Resource5,{'label': 'agentManagesResource', 'color': 'white'}
Agent4,Resource12,{'label': 'agentManagesResource', 'color': 'white'}
ChangeRequest2,NewFeature,{'label': 'changeRequestChangeCause', 'color': 'white'}
ChangeRequest2,ApplicationModule2,{'label': 'changeRequestImpact', 'color': 'white'}
ChangeRequest2,EventRecord7,{'label': 'documentStatusHistory', 'color': 'white'}
ChangeRequest2,InternalIntervention,{'label': 'changeRequestCategory', 'color': 'white'}
ChangeRequest2,Planned,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
ChangeRequest2,Agent12,{'label': 'changeRequestActorParty', 'color': 'white'}
ChangeRequest2,Agent7,{'label': 'changeRequestInitiatorParty', 'color': 'white'}
ontology,accepted,{'label': 'status', 'color': 'white'}
ontology,noria-0.2,{'label': 'owl#priorVersion', 'color': 'white'}
ontology,noria-0.3,{'label': 'owl#versionIRI', 'color': 'white'}
ontology,doc,{'label': 'rdf-schema#seeAlso', 'color': 'white'}
ontology,BSD-4-Clause,{'label': 'license', 'color': 'white'}
ontology,noria-ontology-UC.png,{'label': 'depiction', 'color': 'white'}
ontology,www.orange.com,{'label': 'publisher', 'color': 'white'}
NL3,NI7_R5,{'label': 'networkInterfaceConnects', 'color': 'white'}
NL3,Agent3,{'label': 'resourceManagedBy', 'color': 'white'}
NL3,NI4_R3,{'label': 'networkInterfaceConnects', 'color': 'white'}
NI7_R5,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI7_R5,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NI7_R5,Resource5,{'label': 'networkInterfaceOf', 'color': 'white'}
Service2,ApplicationModule8,{'label': 'subSystemOf', 'color': 'white'}
Service2,ApplicationModule2,{'label': 'subSystemOf', 'color': 'white'}
Service2,CustomerFacingService,{'label': 'serviceType', 'color': 'white'}
Service2,ApplicationModule10,{'label': 'subSystemOf', 'color': 'white'}
ApplicationModule8,Application8,{'label': 'applicationModuleOf', 'color': 'white'}
ApplicationModule8,Agent5,{'label': 'applicationModuleAdministrationTeam', 'color': 'white'}
ApplicationModule8,InProduction,{'label': 'applicationModuleStatus', 'color': 'white'}
EventRecord2_TT5_Resolved,Application6,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord2_TT5_Resolved,Resource5,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord2_TT5_Resolved,TroubleTicket5,{'label': 'alarmMitigatedBy', 'color': 'white'}
EventRecord2_TT5_Resolved,Informational,{'label': 'alarmSeverity', 'color': 'white'}
Application6,high,{'label': 'applicationBusinessImportance', 'color': 'white'}
Application6,security,{'label': 'applicationType', 'color': 'white'}
EventRecord5,TroubleTicket5,{'label': 'references', 'color': 'white'}
EventRecord5,Warning,{'label': 'alarmSeverity', 'color': 'white'}
EventRecord5,Application6,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord5,Resource5,{'label': 'logOriginatingManagedObject', 'color': 'white'}
TroubleTicket5,Application3,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket5,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket5,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket5,Agent4,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket5,Resource5,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket5,EventRecord5,{'label': 'documentStatusHistory', 'color': 'white'}
TroubleTicket5,InternalIT,{'label': 'problemResponsibility', 'color': 'white'}
TroubleTicket5,Failure,{'label': 'troubleTicketType', 'color': 'white'}
TroubleTicket5,Critical,{'label': 'troubleTicketSeverity', 'color': 'white'}
NI11_R9,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI11_R9,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NI11_R9,Resource9,{'label': 'networkInterfaceOf', 'color': 'white'}
Resource1,Locus1,{'label': 'locatedAtLocus', 'color': 'white'}
Resource1,Server,{'label': 'resourceType', 'color': 'white'}
Resource1,Application9,{'label': 'resourceForApplication', 'color': 'white'}
Resource1,ProductModel1,{'label': 'resourceProductModel', 'color': 'white'}
Resource1,Agent1,{'label': 'resourceManagedBy', 'color': 'white'}
Resource1,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Locus1,Room1,{'label': 'bot#hasSpace', 'color': 'white'}
Resource14,Application6,{'label': 'resourceForApplication', 'color': 'white'}
Resource14,ProductModel5,{'label': 'resourceProductModel', 'color': 'white'}
Resource14,Agent4,{'label': 'resourceManagedBy', 'color': 'white'}
Resource14,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource14,Server,{'label': 'resourceType', 'color': 'white'}
Resource14,Locus4,{'label': 'locatedAtLocus', 'color': 'white'}
Application3,business-application,{'label': 'applicationType', 'color': 'white'}
Application3,medium,{'label': 'applicationBusinessImportance', 'color': 'white'}
Resource5,Locus3,{'label': 'locatedAtLocus', 'color': 'white'}
Resource5,Agent4,{'label': 'resourceManagedBy', 'color': 'white'}
Resource5,Application1,{'label': 'resourceForApplication', 'color': 'white'}
Resource5,Application7,{'label': 'resourceForApplication', 'color': 'white'}
Resource5,Application5,{'label': 'resourceForApplication', 'color': 'white'}
Resource5,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource5,ProductModel7,{'label': 'resourceProductModel', 'color': 'white'}
Resource5,Firewall,{'label': 'resourceType', 'color': 'white'}
Locus3,Room2,{'label': 'bot#hasSpace', 'color': 'white'}
ProductModel9,organization,{'label': 'productManufacturedBy', 'color': 'white'}
TroubleTicketNote1_TT5,Internal,{'label': 'troubleTicketNoteCommentType', 'color': 'white'}
TroubleTicketNote1_TT5,Resolution,{'label': 'troubleTicketNoteOperationType', 'color': 'white'}
TroubleTicketNote1_TT5,TroubleTicket5,{'label': 'isPartOf', 'color': 'white'}
TroubleTicketNote1_TT1,Diagnosis,{'label': 'troubleTicketNoteOperationType', 'color': 'white'}
TroubleTicketNote1_TT1,restart_dns_command,{'label': 'troubleTicketNoteCorrelatedExecution', 'color': 'white'}
TroubleTicketNote1_TT1,TroubleTicket1,{'label': 'isPartOf', 'color': 'white'}
TroubleTicketNote1_TT1,Internal,{'label': 'troubleTicketNoteCommentType', 'color': 'white'}
ProductModel6,organization,{'label': 'productManufacturedBy', 'color': 'white'}
Application8,high,{'label': 'applicationBusinessImportance', 'color': 'white'}
Application8,data-platform,{'label': 'applicationType', 'color': 'white'}
TroubleTicket4,EventRecord4,{'label': 'troubleTicketTrigger', 'color': 'white'}
TroubleTicket4,Resource4,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket4,Application8,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TroubleTicket4,Major,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket4,Agent5,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket4,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket4,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket4,Failure,{'label': 'troubleTicketType', 'color': 'white'}
EventRecord4,Resource4,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord4,Minor,{'label': 'alarmSeverity', 'color': 'white'}
EventRecord4,Application6,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord4,TroubleTicket4,{'label': 'references', 'color': 'white'}
TroubleTicket7,Failure,{'label': 'troubleTicketType', 'color': 'white'}
TroubleTicket7,Major,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket7,Resource14,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TroubleTicket7,Agent4,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket7,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket7,Application6,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TroubleTicket7,EventRecord10,{'label': 'troubleTicketTrigger', 'color': 'white'}
TroubleTicket7,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
NI4_R3,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NI4_R3,Resource3,{'label': 'networkInterfaceOf', 'color': 'white'}
NI4_R3,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
Locus2,Room1,{'label': 'bot#hasSpace', 'color': 'white'}
Room1,bot#Site1,{'label': 'bot#hasSpace', 'color': 'white'}
NI2_R2,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI2_R2,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NI2_R2,Resource2,{'label': 'networkInterfaceOf', 'color': 'white'}
ApplicationModule7,InProduction,{'label': 'applicationModuleStatus', 'color': 'white'}
ApplicationModule7,Agent4,{'label': 'applicationModuleSupportTeam', 'color': 'white'}
ApplicationModule7,Application7,{'label': 'applicationModuleOf', 'color': 'white'}
EventRecord2,Major,{'label': 'alarmSeverity', 'color': 'white'}
EventRecord2,NI3_R2,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord2,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord2,OperationPlan2,{'label': 'alarmProposedRepairAction', 'color': 'white'}
EventRecord2,TroubleTicket2,{'label': 'references', 'color': 'white'}
NI3_R2,Resource2,{'label': 'networkInterfaceOf', 'color': 'white'}
NI3_R2,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI3_R2,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NL2,Agent2,{'label': 'resourceManagedBy', 'color': 'white'}
NL2,NI6_R5,{'label': 'networkInterfaceConnects', 'color': 'white'}
NL2,NI3_R2,{'label': 'networkInterfaceConnects', 'color': 'white'}
Agent12,Resource15,{'label': 'agentManagesResource', 'color': 'white'}
Resource15,Development,{'label': 'resourceUsageState', 'color': 'white'}
Resource15,Up,{'label': 'virtualServerStatus', 'color': 'white'}
Resource15,Server,{'label': 'resourceType', 'color': 'white'}
Resource15,Agent12,{'label': 'resourceManagedBy', 'color': 'white'}
Resource15,ProductModel5,{'label': 'resourceProductModel', 'color': 'white'}
Resource15,Locus3,{'label': 'locatedAtLocus', 'color': 'white'}
Resource15,Application2,{'label': 'resourceForApplication', 'color': 'white'}
Agent5,Resource4,{'label': 'agentManagesResource', 'color': 'white'}
ApplicationModule6,InProduction,{'label': 'applicationModuleStatus', 'color': 'white'}
ApplicationModule6,Application6,{'label': 'applicationModuleOf', 'color': 'white'}
ApplicationModule6,Agent4,{'label': 'applicationModuleAdministrationTeam', 'color': 'white'}
EventRecord1,TroubleTicket1,{'label': 'references', 'color': 'white'}
EventRecord1,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord1,Resource1,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord1,Critical,{'label': 'alarmSeverity', 'color': 'white'}
TroubleTicket8,EventRecord11,{'label': 'documentStatusHistory', 'color': 'white'}
TroubleTicket8,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket8,Resource3,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TroubleTicket8,Application2,{'label': 'troubleTicketImpacts', 'color': 'white'}
TroubleTicket8,Failure,{'label': 'troubleTicketType', 'color': 'white'}
TroubleTicket8,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket8,Minor,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket8,Agent3,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
EventRecord11,Resource3,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord11,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord11,OperationPlan4,{'label': 'alarmProposedRepairAction', 'color': 'white'}
EventRecord11,Major,{'label': 'alarmSeverity', 'color': 'white'}
EventRecord11,TroubleTicket8,{'label': 'references', 'color': 'white'}
Resource12,Firewall,{'label': 'resourceType', 'color': 'white'}
Resource12,Application7,{'label': 'resourceForApplication', 'color': 'white'}
Resource12,Locus3,{'label': 'locatedAtLocus', 'color': 'white'}
Resource12,Agent4,{'label': 'resourceManagedBy', 'color': 'white'}
Resource12,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource12,ProductModel9,{'label': 'resourceProductModel', 'color': 'white'}
NL12,Agent4,{'label': 'resourceManagedBy', 'color': 'white'}
NL12,NI12_R10,{'label': 'networkInterfaceConnects', 'color': 'white'}
NL12,NI15_R14,{'label': 'networkInterfaceConnects', 'color': 'white'}
EventRecord10,Resource14,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord10,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord10,Major,{'label': 'alarmSeverity', 'color': 'white'}
EventRecord10,TroubleTicket7,{'label': 'references', 'color': 'white'}
NI10_R9,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI10_R9,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NI10_R9,Resource9,{'label': 'networkInterfaceOf', 'color': 'white'}
Resource13,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource13,Server,{'label': 'resourceType', 'color': 'white'}
Resource13,Application5,{'label': 'resourceForApplication', 'color': 'white'}
Resource13,ProductModel5,{'label': 'resourceProductModel', 'color': 'white'}
Resource13,Locus2,{'label': 'locatedAtLocus', 'color': 'white'}
Resource13,Agent4,{'label': 'resourceManagedBy', 'color': 'white'}
OperationPlan1,ActionPostCondition1_OP1,{'label': 'operationPlanPostCondition', 'color': 'white'}
OperationPlan1,ActionPreCondition1_OP1,{'label': 'operationPlanPreCondition', 'color': 'white'}
Service1,CustomerFacingService,{'label': 'serviceType', 'color': 'white'}
Service1,ApplicationModule9,{'label': 'subSystemOf', 'color': 'white'}
Service1,ApplicationModule1,{'label': 'subSystemOf', 'color': 'white'}
Service1,ApplicationModule7,{'label': 'subSystemOf', 'color': 'white'}
Resource9,Locus2,{'label': 'locatedAtLocus', 'color': 'white'}
Resource9,Agent11,{'label': 'resourceManagedBy', 'color': 'white'}
Resource9,LoadBalancer,{'label': 'resourceType', 'color': 'white'}
Resource9,ProductModel8,{'label': 'resourceProductModel', 'color': 'white'}
Resource9,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource9,Application2,{'label': 'resourceForApplication', 'color': 'white'}
NL5,Agent15,{'label': 'resourceManagedBy', 'color': 'white'}
NL5,NI8_R6,{'label': 'networkInterfaceConnects', 'color': 'white'}
Agent15,Resource11,{'label': 'agentManagesResource', 'color': 'white'}
Agent15,Resource7,{'label': 'agentManagesResource', 'color': 'white'}
Agent3,Resource3,{'label': 'agentManagesResource', 'color': 'white'}
EventRecord2_TT8_Resolved,TroubleTicket8,{'label': 'alarmMitigatedBy', 'color': 'white'}
EventRecord2_TT8_Resolved,Resource3,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord2_TT8_Resolved,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord2_TT8_Resolved,Informational,{'label': 'alarmSeverity', 'color': 'white'}
NL6,Agent2,{'label': 'resourceManagedBy', 'color': 'white'}
NL6,NI9_R8,{'label': 'networkInterfaceConnects', 'color': 'white'}
NL6,NI3_R2,{'label': 'networkInterfaceConnects', 'color': 'white'}
ProductModel4,organization,{'label': 'productManufacturedBy', 'color': 'white'}
Room2,bot#Site1,{'label': 'bot#hasSpace', 'color': 'white'}
NI12_R10,Resource10,{'label': 'networkInterfaceOf', 'color': 'white'}
NI12_R10,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI12_R10,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
Resource10,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource10,Application4,{'label': 'resourceForApplication', 'color': 'white'}
Resource10,Agent14,{'label': 'resourceManagedBy', 'color': 'white'}
Resource10,Locus4,{'label': 'locatedAtLocus', 'color': 'white'}
Resource10,Server,{'label': 'resourceType', 'color': 'white'}
Resource10,ProductModel5,{'label': 'resourceProductModel', 'color': 'white'}
Resource7,Application8,{'label': 'resourceForApplication', 'color': 'white'}
Resource7,Locus1,{'label': 'locatedAtLocus', 'color': 'white'}
Resource7,Storage,{'label': 'resourceType', 'color': 'white'}
Resource7,ProductModel6,{'label': 'resourceProductModel', 'color': 'white'}
Resource7,Agent15,{'label': 'resourceManagedBy', 'color': 'white'}
Resource7,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
ChangeRequest3,Resource5,{'label': 'changeRequestImpact', 'color': 'white'}
ChangeRequest3,Agent4,{'label': 'changeRequestActorParty', 'color': 'white'}
ChangeRequest3,Standard,{'label': 'changeRequestType', 'color': 'white'}
ChangeRequest3,Planned,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
