2026-01-16 17:59:18,543 - INFO - ##################################################
2026-01-16 17:59:18,543 - INFO - Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/prompt_optim/S4_fully_created_by_AI/2025-10-21/vertex_ai/gemini-2.5-flash/4_prompt_fully_created_by_AI_2025-10-21_10-33-12_Noria.ttl
2026-01-16 17:59:18,543 - INFO - Number of Nodes : 539
2026-01-16 17:59:18,544 - INFO - Number of edges : 745
2026-01-16 17:59:18,544 - INFO - cumulative number of nodes : 539
2026-01-16 17:59:18,544 - INFO - degree_histogram : [0, 381, 41, 17, 20, 8, 17, 4, 6, 4, 8, 5, 6, 1, 2, 2, 1, 1, 2, 3, 3, 3, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
2026-01-16 17:59:18,545 - INFO - number of self loop : 23
2026-01-16 17:59:18,545 - INFO - ####  KPIs ####
2026-01-16 17:59:18,545 - INFO - DiGraph density : 0.0025691249801711833
2026-01-16 17:59:18,546 - INFO - cumulative density : 0.0025691249801711833
2026-01-16 17:59:18,549 - INFO - Average degree connectivity : {18: 4.527777777777778, 1: 0.007874015748031496, 7: 5.071428571428571, 6: 2.823529411764706, 13: 7.0, 2: 0.4146341463414634, 14: 1.6785714285714286, 12: 5.805555555555555, 3: 0.8431372549019608, 19: 3.491228070175439, 11: 5.581818181818182, 28: 5.5, 8: 5.354166666666667, 4: 0.9625, 27: 3.037037037037037, 10: 6.7375, 5: 1.025, 16: 5.125, 38: 6.394736842105263, 17: 7.352941176470588, 22: 6.045454545454546, 21: 2.9365079365079363, 20: 3.466666666666667, 9: 4.75, 15: 3.3333333333333335}
2026-01-16 17:59:18,549 - INFO - #### Subject, Object, predicate ####
2026-01-16 17:59:18,549 - INFO - Resource005,SN-ER01-JKL234,{'label': 'resourceSerialNumber', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - ApplicationModule002,Application001,{'label': 'applicationModuleOf', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - ApplicationModule002,ECOMM-V2_BACKEND-PROD,{'label': 'applicationModuleName', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - org#OrganizationalUnit001,Agent002,{'label': 'hasMember', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - org#OrganizationalUnit001,Agent001,{'label': 'hasMember', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - org#OrganizationalUnit001,Main department overseeing all IT infrastructure a...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - org#OrganizationalUnit001,IT Operations Department,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - org#OrganizationalUnit001,Agent003,{'label': 'hasMember', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - org#OrganizationalUnit001,Département Opérations IT,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,Application001,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,ProductModel002,{'label': 'resourceProductModel', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,LoadBalancer,{'label': 'resourceType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,Load Balancer 01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,InProduction,{'label': 'resourceUsageState', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,Agent001,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,Distributes traffic to web servers for the E-comme...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Resource008,lb01.ecommerce.corp,{'label': 'resourceHostName', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,1001,{'label': 'applicationNumericalIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,Online Order Processing,{'label': 'applicationFunctionalSubDomain', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,ECOMM-V2,{'label': 'applicationModelIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,Plateforme E-commerce,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,Sales and Customer Management,{'label': 'applicationFunctionalDomain', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,high,{'label': 'applicationBusinessImportance', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,E-commerce Platform,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,business,{'label': 'applicationType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,Main application for online sales and customer int...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,ECOMM,{'label': 'applicationShortIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - Application001,Agent001,{'label': 'elementManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - TroubleTicket002,Zabbix,{'label': 'troubleTicketSupervisionTool', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - TroubleTicket002,2024-04-20T10:15:00+00:00,{'label': 'troubleTicketDetectionDateTime', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,552 - INFO - TroubleTicket002,Resource004,{'label': 'troubleTicketImpacts', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - TroubleTicket002,EventRecord005,{'label': 'relation', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,552 - INFO - TroubleTicket002,NetworkLink002,{'label': 'troubleTicketImpacts', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Suspected faulty SFP module on ge-0/0/0 of cr01.,{'label': 'troubleTicketCause', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Major,{'label': 'troubleTicketSeverity', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,true,{'label': 'troubleTicketIsNotificationEnable', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Interface Routeur Coeur Instable,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,EventRecord002,{'label': 'troubleTicketTrigger', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,IsolatedCustomerSite,{'label': 'troubleTicketCategory', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,2024-04-20T10:30:00+00:00,{'label': 'created', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,DeferredIntervention,{'label': 'troubleTicketUrgency', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Service002,{'label': 'troubleTicketRelatedService', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,NetworkLink003,{'label': 'troubleTicketImpacts', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Failure,{'label': 'troubleTicketType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Supervision,{'label': 'troubleTicketOrigin', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Agent002,{'label': 'troubleTicketRelatedParty', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,P2,{'label': 'troubleTicketPriority', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,ManagedBackboneNetworks,{'label': 'problemResponsibility', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Intermittent connectivity issues reported by inter...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Core Router Interface Flapping,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,Resolved,{'label': 'troubleTicketStatusCurrent', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,TT-20240420-002,{'label': 'identifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,2024-04-20T11:50:00+00:00,{'label': 'modified', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - TroubleTicket002,NetworkLink004,{'label': 'troubleTicketImpacts', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,Système de Supervision,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,IT Operations,{'label': 'applicationFunctionalDomain', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,monitoring,{'label': 'applicationType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,MONITOR-PROD,{'label': 'applicationModelIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,Monitoring System,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,Resource007,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,Agent002,{'label': 'elementManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,Performance Monitoring,{'label': 'applicationFunctionalSubDomain', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,high,{'label': 'applicationBusinessImportance', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,2001,{'label': 'applicationNumericalIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,553 - INFO - Application002,MONITOR,{'label': 'applicationShortIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Application002,Centralized system for collecting metrics, logs, a...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,Resource005,{'label': 'networkLinkTerminationResource', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,Resource004,{'label': 'networkLinkTerminationResourceOrigin', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,2021-05-20T10:00:00+00:00,{'label': 'networkLinkInstallationDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,NetworkInterface004,{'label': 'networkInterfaceConnects', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,NL-CR01-ER01-001,{'label': 'networkLinkId', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,Fiber Optic,{'label': 'networkLinkType', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,High-speed link between Core Router 01 and Edge Ro...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,Agent002,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,NetworkInterface003,{'label': 'networkInterfaceConnects', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - NetworkLink001,Link CR01-ER01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,ResourceFacingService,{'label': 'serviceType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,Resource005,{'label': 'subSystemOf', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,Internal Network Connectivity Service,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,Application003,{'label': 'subSystemOf', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,Service de Connectivité Réseau Interne,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,Provides network connectivity for all internal IT ...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Service002,Resource004,{'label': 'subSystemOf', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - ResourceFacingService,Resource Facing Service,{'label': 'prefLabel', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Router,Router,{'label': 'prefLabel', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,Hôte de Virtualisation 01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,SN-VHOST01-MNO567,{'label': 'resourceSerialNumber', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,Agent001,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,2022-03-10T14:00:00+00:00,{'label': 'resourceInstallationDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,ASSET-VHOST-001,{'label': 'resourceLogisticId', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,Physical server hosting multiple virtual machines.,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,Server,{'label': 'resourceType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,554 - INFO - Resource006,ProductModel004,{'label': 'resourceProductModel', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,555 - INFO - Resource006,Resource009,{'label': 'clusterController', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,555 - INFO - Resource006,Locus004,{'label': 'locatedAtLocus', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,555 - INFO - Resource006,vhost01.corp.example.com,{'label': 'resourceHostName', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,555 - INFO - Resource006,Up,{'label': 'virtualServerStatus', 'edge_type': 'entity_to_entity', 'width': 1}
