2026-01-27 09:27:25,744 - INFO - ##################################################
2026-01-27 09:27:25,744 - INFO - Knowledge Graph : /home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2026-01-19/vertex_ai/gemini-2.5-flash/4_1_AI_enhance_manually_2026-01-19_16-48-08_Noria.ttl
2026-01-27 09:27:25,744 - INFO - Number of Nodes : 381
2026-01-27 09:27:25,745 - INFO - Number of edges : 489
2026-01-27 09:27:25,745 - INFO - cumulative number of nodes : 381
2026-01-27 09:27:25,745 - INFO - degree_histogram : [0, 268, 24, 19, 16, 7, 8, 9, 5, 6, 3, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]
2026-01-27 09:27:25,745 - INFO - number of self loop : 14
2026-01-27 09:27:25,745 - INFO - ####  KPIs ####
2026-01-27 09:27:25,745 - INFO - DiGraph density : 0.0033775383340240365
2026-01-27 09:27:25,746 - INFO - cumulative density : 0.0033775383340240365
2026-01-27 09:27:25,747 - INFO - Average degree connectivity : {4: 1.359375, 1: 0.0037313432835820895, 7: 4.873015873015873, 18: 3.7777777777777777, 19: 5.0, 29: 3.586206896551724, 2: 0.4375, 13: 3.4615384615384617, 17: 0.4117647058823529, 25: 3.8, 3: 0.5614035087719298, 6: 2.9166666666666665, 12: 3.5625, 8: 4.575, 5: 2.657142857142857, 15: 3.9, 10: 3.6333333333333333, 9: 3.8518518518518516, 14: 2.7142857142857144, 20: 2.175}
2026-01-27 09:27:25,747 - INFO - #### Subject, Object, predicate ####
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,true,{'label': 'changeRequestIsRegulated', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Upgrade Core Router OS,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,SoftwareUpgrade,{'label': 'changeRequestChangeCause', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,CR-2024-001,{'label': 'documentExternalId', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,InternalIntervention,{'label': 'changeRequestCategory', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,PT2H,{'label': 'changeRequestOutageDuration', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Planned upgrade of Cisco IOS-XR on Core Router 01 ...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,https://itsm.example.com/change/CR-2024-001,{'label': 'documentHRef', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,2024-04-15T09:00:00+00:00,{'label': 'created', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Scheduled,{'label': 'changeRequestStatusCurrent', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,2024-05-01T04:00:00+00:00,{'label': 'changeRequestPlannedEndTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Resource_CoreRouter_01,{'label': 'changeRequestImpact', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,2024-04-18T16:00:00+00:00,{'label': 'modified', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - ChangeRequest_001,Agent5,{'label': 'changeRequestActorParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - Standard,Standard Change,{'label': 'prefLabel', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,TotalBreakdown,{'label': 'troubleTicketCategory', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Complete loss of internet access affecting all cor...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Supervision,{'label': 'troubleTicketOrigin', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Critical,{'label': 'troubleTicketSeverity', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Corporate Internet Access Outage,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,true,{'label': 'troubleTicketIsNotificationEnable', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,InProgress,{'label': 'troubleTicketStatusCurrent', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,EventRecord_AppS01_CPUHigh,{'label': 'documentStatusHistory', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,ManagedBackboneNetworks,{'label': 'problemResponsibility', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,EventRecord_CR01_LinkDown,{'label': 'troubleTicketTrigger', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,INC-2024-001,{'label': 'documentExternalId', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,2024-04-20T11:30:00+00:00,{'label': 'modified', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Nagios,{'label': 'troubleTicketSupervisionTool', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Service_CorporateInternetAccess,{'label': 'troubleTicketRelatedService', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,2024-04-20T10:05:00+00:00,{'label': 'troubleTicketDetectionDateTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Failure,{'label': 'troubleTicketType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,https://itsm.example.com/ticket/INC-2024-001,{'label': 'documentHRef', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,2024-04-20T13:30:00+00:00,{'label': 'troubleTicketPlannedRestorationDateTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,ImmediateIntervention,{'label': 'troubleTicketUrgency', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Resource_CoreRouter_01,{'label': 'troubleTicketRelatedResource', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,2024-04-20T15:00:00+00:00,{'label': 'troubleTicketCommittedRestorationDateTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Agent1,{'label': 'troubleTicketRelatedParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,2024-04-20T10:10:00+00:00,{'label': 'created', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,2024-04-20T14:00:00+00:00,{'label': 'troubleTicketTargetRestorationDateTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,P1,{'label': 'troubleTicketPriority', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_001,Fiber cut affecting primary ISP uplink.,{'label': 'troubleTicketCause', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TotalBreakdown,Total Breakdown,{'label': 'prefLabel', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,InUse,{'label': 'resourceUsageState', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,web01.dc1.example.com,{'label': 'resourceHostName', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,Web Server VM 01,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,ProductModel_VMware_ESXi,{'label': 'resourceProductModel', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,10.0.1.20,{'label': 'resourceManagementIPAddress', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,Virtual machine hosting web services for Enterpris...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,2023-05-01T09:00:00+00:00,{'label': 'resourceInstallationDate', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,Resource_AppServer_01,{'label': 'clusterController', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,Agent2,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - Resource_VirtualMachine_Web01,virtual-machine,{'label': 'resourceType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - Agent1,Network Operations Center (NOC) Team,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Agent1,Contact via dedicated hotline for critical inciden...,{'label': 'agentInstructions', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Agent1,24/7,{'label': 'agentWorkingHours', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Agent1,Team responsible for 24/7 network monitoring and i...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - Agent1,Phone,{'label': 'agentPreferredContactMethod', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,Major,{'label': 'troubleTicketSeverity', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,High CPU utilization on application server.,{'label': 'troubleTicketCause', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,true,{'label': 'troubleTicketIsNotificationEnable', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,https://itsm.example.com/ticket/INC-2024-002,{'label': 'documentHRef', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,Resource_AppServer_01,{'label': 'troubleTicketRelatedResource', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,Users reporting slow loading times for the Enterpr...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,ApplicationModule_EnterprisePortal_Prod,{'label': 'troubleTicketRelatedService', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,InProgress,{'label': 'troubleTicketStatusCurrent', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,Agent3,{'label': 'troubleTicketRelatedParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,Enterprise Portal Slow Performance,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,PartialOutage,{'label': 'troubleTicketCategory', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,Zabbix,{'label': 'troubleTicketSupervisionTool', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,INC-2024-002,{'label': 'documentExternalId', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,ManagedBackboneNetworks,{'label': 'problemResponsibility', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,2024-04-20T10:45:00+00:00,{'label': 'modified', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,ImmediateIntervention,{'label': 'troubleTicketUrgency', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,748 - INFO - TroubleTicket_002,EventRecord_AppS01_CPUHigh,{'label': 'troubleTicketTrigger', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - TroubleTicket_002,2024-04-20T10:15:00+00:00,{'label': 'troubleTicketDetectionDateTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - TroubleTicket_002,Assistance,{'label': 'troubleTicketType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - TroubleTicket_002,P2,{'label': 'troubleTicketPriority', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - TroubleTicket_002,2024-04-20T12:00:00+00:00,{'label': 'troubleTicketTargetRestorationDateTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - TroubleTicket_002,2024-04-20T10:20:00+00:00,{'label': 'created', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - TroubleTicket_002,Customer,{'label': 'troubleTicketOrigin', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - Major,Major,{'label': 'prefLabel', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - InUse,In Use,{'label': 'prefLabel', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ProductModel_VMware_ESXi,org#Manufacturer3,{'label': 'productManufacturedBy', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ProductModel_VMware_ESXi,VMware ESXi Hypervisor,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ProductModel_VMware_ESXi,Type-1 hypervisor for virtual machines.,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - org#Manufacturer3,VMware Inc.,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - org#Manufacturer3,Provider of virtualization software.,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent6,Jane Smith,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent6,Lead engineer for Server Administration Team.,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent6,Email,{'label': 'agentPreferredContactMethod', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - Agent6,Resource_AppServer_01,{'label': 'agentManagesResource', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - CUid_JaneSmith,Agent6,{'label': 'holdsAccount', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - CUid_JaneSmith,jsmith,{'label': 'accountLogin', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - CUid_JaneSmith,jsmith@example.com,{'label': 'accountIdentifier', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - CUid_JaneSmith,Jane Smith's Corporate ID,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,Headquarters Office,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,New York,{'label': 'sitePrincipalAddressCityName', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,US,{'label': 'sitePrincipalAddressCountry', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,10001,{'label': 'sitePrincipalAddressPostalCode', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,HQ-NYC-01,{'label': 'siteId', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,office building,{'label': 'siteType', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - bot#Site_HQ,456 Corporate Avenue,{'label': 'sitePrincipalAddress', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent2,Submit a ticket via the IT Service Portal. For eme...,{'label': 'agentInstructions', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent2,Team responsible for server infrastructure managem...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent2,Email,{'label': 'agentPreferredContactMethod', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - Agent2,9:00 AM - 5:00 PM (Mon-Fri),{'label': 'agentWorkingHours', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Agent2,Server Administration Team,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Room_ServerRoom_DC1_A,Server Room A - DC1,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - Room_ServerRoom_DC1_A,bot#Site_DC1,{'label': 'hasSpace', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - Room_ServerRoom_DC1_A,Primary server room in Data Center 1.,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - NetworkInterface_WebVM01_Eth0,Ethernet0 on Web Server VM 01,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - NetworkInterface_WebVM01_Eth0,virtual,{'label': 'networkInterfaceType', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - NetworkInterface_WebVM01_Eth0,Resource_VirtualMachine_Web01,{'label': 'networkInterfaceOf', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - NetworkInterface_WebVM01_Eth0,Virtual network interface for web traffic.,{'label': 'networkInterfaceDescription', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - NetworkInterface_WebVM01_Eth0,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - NetworkInterface_WebVM01_Eth0,Up,{'label': 'networkInterfaceOperationalStatus', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - Diagnosis,Diagnosis,{'label': 'prefLabel', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Add Disk to DB Server 01,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Agent4,{'label': 'changeRequestPilotParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Agent6,{'label': 'changeRequestActorParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Resource_DBServer_01,{'label': 'changeRequestImpact', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Standard,{'label': 'changeRequestType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,SoftwareUpgrade,{'label': 'changeRequestChangeCause', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,2024-04-22T18:00:00+00:00,{'label': 'changeRequestPlannedStartTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,OperationPlan_AddDiskProcedure,{'label': 'actionCorrelatedOperationPlan', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,2024-04-20T10:00:00+00:00,{'label': 'modified', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,PT1H,{'label': 'changeRequestOutageDuration', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,https://itsm.example.com/change/CR-2024-002,{'label': 'documentHRef', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Scheduled,{'label': 'changeRequestStatusCurrent', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,InternalIntervention,{'label': 'changeRequestCategory', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,CR-2024-002,{'label': 'documentExternalId', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,749 - INFO - ChangeRequest_002,Adding a new disk to DB Server 01 to increase stor...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,750 - INFO - ChangeRequest_002,2024-04-22T19:00:00+00:00,{'label': 'changeRequestPlannedEndTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,750 - INFO - ChangeRequest_002,2024-04-20T09:30:00+00:00,{'label': 'created', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,750 - INFO - ChangeRequest_002,false,{'label': 'changeRequestIsRegulated', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,750 - INFO - Service_EnterpriseDataPlatform,Application_EnterprisePortal,{'label': 'subSystemOf', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,750 - INFO - Service_EnterpriseDataPlatform,Agent4,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity'}
