Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb6, pred https://w3id.org/noria/ontology/networkInterfaceAdministrativeStatus, subject http://example.com/data/Eth0WebServerProd01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb24, pred https://w3id.org/noria/ontology/changeRequestType, subject http://example.com/data/ChangeRequest010, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb9, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/OperationalState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb5, pred http://www.w3.org/2000/01/rdf-schema#label, object In Production, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb19, pred https://w3id.org/noria/ontology/troubleTicketOrigin, subject http://example.com/data/TroubleTicket005, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb10, pred https://w3id.org/noria/ontology/applicationType, subject http://example.com/data/CustomerPortalApp, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb20, pred http://www.w3.org/2000/01/rdf-schema#label, object InProgress, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb7, pred http://www.w3.org/2000/01/rdf-schema#label, object up, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb26, pred https://w3id.org/noria/ontology/changeRequestStatusCurrent, subject http://example.com/data/ChangeRequest010, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb23, pred https://w3id.org/noria/ontology/changeRequestCategory, subject http://example.com/data/ChangeRequest010, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb21, pred https://w3id.org/noria/ontology/troubleTicketNoteCommentType, subject http://example.com/data/TroubleTicketNote005_1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb1, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/org/agent-contact-method, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb15, pred https://w3id.org/noria/ontology/alarmSeverity, subject http://example.com/data/LogEventHighCPU, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb17, pred https://w3id.org/noria/ontology/troubleTicketType, subject http://example.com/data/TroubleTicket005, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb9, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb29, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb12, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/Router02, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb40, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Scheduled, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb18, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/VirtualMachine01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb11, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/Router01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb24, pred http://www.w3.org/2004/02/skos/core#prefLabel, object up, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb16, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/FirewallFW01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb8, pred http://www.w3.org/2004/02/skos/core#prefLabel, object In Development, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb1, pred https://w3id.org/noria/ontology/agentPreferredContactMethod, subject http://example.com/noria-kg/JohnDoe, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb26, pred https://w3id.org/noria/ontology/troubleTicketType, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb36, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/Notification/Severity/PerceivedSeverity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb21, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/AdministrativeState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb10, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/Router01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb14, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Database Server, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb35, pred https://w3id.org/noria/ontology/alarmSeverity, subject http://example.com/noria-kg/Event_DB_Down, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb27, pred http://www.w3.org/2004/02/skos/core#prefLabel, object P1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb25, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/severity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb13, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/Router02, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb28, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/origin, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb7, pred https://w3id.org/noria/ontology/applicationType, subject http://example.com/noria-kg/CustomerPortalApp, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb17, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/FirewallFW01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb34, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb38, pred https://w3id.org/noria/ontology/changeRequestType, subject http://example.com/noria-kg/CR_20240520_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb23, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/AdministrativeState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb39, pred https://w3id.org/noria/ontology/changeRequestChangeCause, subject http://example.com/noria-kg/CR_20240520_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb33, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/origin, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb15, pred http://www.w3.org/2004/02/skos/core#prefLabel, object In Production, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb22, pred https://w3id.org/noria/ontology/networkInterfaceOperationalStatus, subject http://example.com/noria-kg/Router01_GE0_0_1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb19, pred http://www.w3.org/2004/02/skos/core#prefLabel, object In Development, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb3, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb5, pred http://www.w3.org/2004/02/skos/core#inScheme, object https://w3id.org/noria/kos/application/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb2, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/org/agent-contact-method, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb32, pred https://w3id.org/noria/ontology/troubleTicketPriority, subject http://example.com/noria-kg/TT_20240515_002, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb6, pred http://www.w3.org/2004/02/skos/core#inScheme, object https://w3id.org/noria/kos/application/sla-level, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb30, pred https://w3id.org/noria/ontology/troubleTicketSeverity, subject http://example.com/noria-kg/TT_20240515_002, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb31, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Failure, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Object is a BN : nfe7dab276ca84f799179b553384b7d2fb20, pred https://w3id.org/noria/ontology/virtualServerStatus, subject http://example.com/noria-kg/VirtualMachine01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb4, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/business-importance, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : nfe7dab276ca84f799179b553384b7d2fb37, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Software Upgrade, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-18-17_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b23, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/ChangeRequest/cause, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b2, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b17, pred https://w3id.org/noria/ontology/troubleTicketOrigin, subject http://example.com/data/TroubleTicket001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b1, pred http://www.w3.org/2000/01/rdf-schema#label, object Email and Phone, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b15, pred http://www.w3.org/2000/01/rdf-schema#label, object Failure, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b21, pred https://w3id.org/noria/ontology/changeRequestCategory, subject http://example.com/data/ChangeRequest001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b5, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/LifecycleState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b6, pred http://www.w3.org/2000/01/rdf-schema#label, object up, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b12, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/service/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b10, pred http://www.w3.org/2004/02/skos/core#inScheme, object https://w3id.org/noria/kos/application/sla-level, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b13, pred https://w3id.org/noria/ontology/alarmSeverity, subject http://example.com/data/LogEventWebServerCPU, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b20, pred http://www.w3.org/2000/01/rdf-schema#label, object Diagnosis, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b14, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/severity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b3, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/data/WebServer01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b22, pred https://w3id.org/noria/ontology/changeRequestType, subject http://example.com/data/ChangeRequest001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b4, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/data/CoreSwitch01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b11, pred https://w3id.org/noria/ontology/applicationModuleStatus, subject http://example.com/data/WebPortalProdModule, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b8, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b24, pred https://w3id.org/noria/ontology/changeRequestStatusCurrent, subject http://example.com/data/ChangeRequest001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b16, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/priority, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
